Ind,exp,cond,pop,sumNeo,sumNeoD,sumNeoNpop,sumNeoAS,size,sizeD,sizeNpop,sizeAS,adult,adultD,adultNpop,adultAS
13_3,A,LAHC,EP,10,-24.957,11.068,-23.889,2.637,-0.821,2.594,-0.864,8,1.783,7.773,1.556
13.5_1,A,LAHC,EP,4,-30.957,5.068,-29.889,2.882,-0.576,2.839,-0.619,18,11.783,,
15.5_1,A,LAHC,EP,9,-25.957,10.068,-24.889,2.946,-0.512,2.903,-0.555,12,5.783,11.773,5.556
0_2,A,LALC,CWP,11,-23.583,6.883,-27.7,2.576,-0.868,2.476,-0.968,7,0.792,6.708,0.5
0_4,A,LALC,CWP,5,-29.583,0.883,-33.7,2.894,-0.55,2.794,-0.65,13,6.792,12.708,6.5
1_2,A,LALC,CWP,9,-25.583,4.883,-29.7,2.84,-0.604,2.74,-0.704,7,0.792,6.708,0.5
2_1,A,LALC,CWP,6,-28.583,1.883,-32.7,2.733,-0.711,2.633,-0.811,10,3.792,9.708,3.5
2.5_9,A,LALC,CWP,7,-27.583,2.883,-31.7,2.763,-0.681,2.663,-0.781,11,4.792,10.708,4.5
2.5_11,A,LALC,CWP,9,-25.583,4.883,-29.7,3.05,-0.394,2.95,-0.494,7,0.792,6.708,0.5
3_6,A,LALC,CWP,6,-28.583,1.883,-32.7,2.782,-0.662,2.682,-0.762,9,2.792,8.708,2.5
3.5_1,A,LALC,CWP,9,-25.583,4.883,-29.7,2.799,-0.645,2.699,-0.745,7,0.792,6.708,0.5
3.5_2,A,LALC,CWP,9,-25.583,4.883,-29.7,2.601,-0.843,2.501,-0.943,7,0.792,6.708,0.5
6_2,A,LALC,PP,6,-27.667,2.667,-31,2.761,-0.682,2.755,-0.688,7,0.952,6.603,0.556
6_3,A,LALC,PP,6,-27.667,2.667,-31,2.658,-0.785,2.652,-0.791,10,3.952,9.603,3.556
7_3,A,LALC,PP,5,-28.667,1.667,-32,2.714,-0.729,2.708,-0.735,13,6.952,,
7_5,A,LALC,PP,7,-26.667,3.667,-30,2.696,-0.747,2.69,-0.753,10,3.952,9.603,3.556
7.5_4,A,LALC,PP,8,-25.667,4.667,-29,3.024,-0.419,3.018,-0.425,10,3.952,9.603,3.556
9_6,A,LALC,PP,6,-27.667,2.667,-31,2.62,-0.823,2.614,-0.829,8,1.952,7.603,1.556
12.5_1,A,LALC,EP,10,-24.957,11.068,-23.889,2.783,-0.675,2.74,-0.718,10,3.783,9.773,3.556
